symbol,timestamp_ms,open,high,low,close,volume,adjusted_close,trade_value,market,source,currency
FAKEUSA,1901000000000,200.00,202.00,199.20,201.40,20000,201.30,4028000,US,synthetic,USD
FAKEUSA,1901000060000,201.40,204.00,200.90,203.50,21800,203.40,4436300,US,synthetic,USD
FAKEUSA,1901000120000,203.50,206.20,203.00,205.80,22600,205.70,4651080,US,synthetic,USD
FAKEUSA,1901000180000,205.80,209.00,205.20,208.40,24100,208.30,5022440,US,synthetic,USD
FAKEUSA,1901000240000,208.40,212.00,207.90,211.20,25800,211.10,5448960,US,synthetic,USD
FAKEUSA,1901000300000,211.20,213.00,209.50,210.40,18500,210.30,3892400,US,synthetic,USD
FAKEUSA,1901000360000,210.40,212.50,209.80,211.70,17800,211.60,3768260,US,synthetic,USD
FAKEUSA,1901000420000,211.70,213.20,210.20,210.90,18100,210.80,3817290,US,synthetic,USD
FAKEUSA,1901000480000,210.90,213.80,210.40,212.80,19200,212.70,4085760,US,synthetic,USD
FAKEUSA,1901000540000,212.80,214.00,211.00,211.90,18700,211.80,3962530,US,synthetic,USD
FAKEUSA,1901000600000,211.90,216.00,202.00,205.00,36000,204.90,7380000,US,synthetic,USD
FAKEUSA,1901000660000,205.00,207.00,194.00,196.80,43000,196.70,8462400,US,synthetic,USD
FAKEUSA,1901000720000,196.80,199.00,184.50,187.20,51000,187.10,9547200,US,synthetic,USD
FAKEUSA,1901000780000,187.20,191.00,179.00,182.40,47000,182.30,8572800,US,synthetic,USD
FAKEUSA,1901000840000,182.40,190.00,181.20,188.60,39000,188.50,7355400,US,synthetic,USD
FAKEUSA,1901000900000,188.60,195.00,187.50,193.80,34500,193.70,6686100,US,synthetic,USD
FAKEUSA,1901000960000,193.80,200.00,192.90,198.70,31800,198.60,6318660,US,synthetic,USD
FAKEUSA,1901001020000,198.70,205.00,197.80,203.60,30200,203.50,6148720,US,synthetic,USD
FAKEUSA,1901001080000,203.60,209.00,202.80,207.90,28900,207.80,6008310,US,synthetic,USD
FAKEUSA,1901001140000,207.90,213.00,207.10,211.80,27600,211.70,5845680,US,synthetic,USD
